"ride_id","driver_id","user_id","rating"
"3000288","","116687",""
"3000027","114210","105208","5"
"3000028","","106866",""
"3000029","106121","112324",""
"3000035","","112281",""
"3000040","102835","108020",""
"3000041","111760","102582",""
"3000043","","112550",""
"3000048","111308","109753",""
"3000049","","102455",""
"3000050","116669","104948",""
"3000051","","109008",""
"3000054","101535","103359","1"
"3000056","","115283",""
"3000062","117340","101504","1"
"3000065","","111551",""
"3000066","111176","114304","4"
"3000067","103968","100037","4"
"3000071","102544","103966","1"
"3000072","115736","105134","5"
"3000075","110817","117518",""
"3000076","100982","109228",""
"3000077","107511","117516",""
"3000079","101901","100998","4"
"3000083","104627","105949","1"
"3000085","","114369",""
"3000087","115812","114701",""
"3000089","115869","116564","4"
"3000090","112665","115284","4"
"3000091","","112746",""
"3000092","114415","110231","2"
"3000094","","114443",""
"3000097","116669","116477",""
"3000100","","117329",""
"3000102","","107097",""
"3000105","109686","106251","1"
"3000107","100686","108353","3"
"3000108","116460","104178",""
"3000109","100104","110506",""
"3000110","","107477",""
"3000112","","113850",""
"3000113","","101893",""
"3000114","","108765",""
"3000118","115535","113358","4"
"3000119","105088","106770",""
"3000121","114583","108059","1"
"3000123","","112539",""
"3000125","110548","109064",""
"3000126","103858","107807","2"
"3000128","105976","102526","1"
"3000129","113488","104555",""
"3000130","116060","109056","1"
"3000131","109690","111414",""
"3000132","","107510",""
"3000133","106472","112833","5"
"3000134","","104700",""
"3000135","","103663",""
"3000137","115242","117479",""
"3000138","100481","109108",""
"3000144","116379","116834","1"
"3000146","","112742",""
"3000151","","110706",""
"3000156","","109235",""
"3000157","111380","100048","5"
"3000158","","100269",""
"3000161","","110690",""
"3000163","105117","108120",""
"3000164","","113718",""
"3000165","","110545",""
"3000169","112012","107081","1"
"3000172","102602","115158","1"
"3000175","","103607",""
"3000177","","117406",""
"3000179","","109083",""
"3000184","104319","108296","5"
"3000186","108447","110013","5"
"3000187","111160","105497","4"
"3000191","","110738",""
"3000194","109017","114226",""
"3000195","115341","112580",""
"3000198","108125","105560","1"
"3000200","100336","109496","2"
"3000203","112466","100224","2"
"3000204","","103466",""
"3000206","","113852",""
"3000207","104675","104915","1"
"3000208","107828","108922",""
"3000210","110875","117603",""
"3000211","","111794",""
"3000212","112283","102478",""
"3000213","","117196",""
"3000214","105924","112431","1"
"3000216","116060","102189","5"
"3000218","","109830",""
"3000219","","104142",""
"3000220","","100718",""
"3000221","116684","111693","4"
"3000222","116794","112830",""
"3000223","113219","100382","1"
"3000226","100939","113848","4"
"3000229","103543","114295","5"
"3000231","109285","114732",""
"3000234","","108911",""
"3000236","","109480",""
"3000239","117013","116680","1"
"3000240","","106140",""
"3000243","102971","115138","1"
"3000245","108047","108369","5"
"3000247","103542","103480","5"
"3000250","","111866",""
"3000255","","101525",""
"3000256","101218","110145","5"
"3000258","112204","109061","2"
"3000259","112380","100695","5"
"3000263","115940","100863","1"
"3000267","116782","103944",""
"3000268","","100216",""
"3000269","","102448",""
"3000270","114418","113530",""
"3000271","107956","110335",""
"3000273","","109430",""
"3000275","","113740",""
"3000277","109843","114059","5"
"3000278","","106958",""
"3000281","100412","101181","1"
"3000283","107453","114505","1"
"3000285","115147","111064","5"
"3000286","114789","113228",""
"3000287","102702","113210",""
"3000289","111979","105249","3"
"3000290","","113268",""
"3000292","","100846",""
"3000293","108681","114112","5"
"3000294","102190","110569","4"
"3000296","107695","109302","1"
"3000297","116683","108541",""
"3000299","100092","110977","2"
